Protein	Neighborhood
AP3B1	Cytosol
AP3B2	Cytosol
AP3D1	Cytosol
AP3M1	Cytosol
AP3M2	Cytosol
AP3S1	Cytosol
AP3S2	Cytosol
AP4B1	Cytosol
AP4E1	Cytosol
AP4M1	Cytosol
AP4S1	Cytosol
AP5B1	Cytosol
AP5M1	Cytosol
AP5S1	Cytosol
AP5Z1	Cytosol
APAF1	Cytosol
APBA1	Cytosol
APBA2	Cytosol
APBA3	Unclassified
APBB2	Cytosol
APC	Cytosol
APCS	Cytosol
APEH	Cytosol
APEX1	Nuclear
APEX2	Cytosol
APH1A	Secretory
APH1B	Nuclear
API5	Nuclear
APIP	Cytosol
APLF	Nuclear
APLP2	Secretory
APMAP	Secretory
APOA1	Cytosol
APOA1BP	Cytosol
APOA2	Cytosol
APOA4	Cytosol
APOB	Cytosol
APOBEC3B	Nuclear
APOC1	Secretory
APOC3	Mitochondria
APOD	Secretory
APOE	Unclassified
APOH	Cytosol
APOL2	Secretory
APOM	Secretory
APOO	Mitochondria
APOOL	Mitochondria
APP	Secretory
APPBP2	Cytosol
APPL1	Cytosol
APPL2	Cytosol
APRT	Cytosol
APTX	Nuclear
AQP3	Unclassified
AQR	Nuclear
AR	Cytosol
ARAF	Cytosol
ARAP1	Cytosol
ARAP2	Cytosol
ARAP3	Cytosol
ARC	Mitochondria
ARCN1	Cytosol
AREL1	Secretory
ARF4	Cytosol
ARF5	Cytosol
ARF6	Secretory
ARFGAP1	Cytosol
ARFGAP2	Cytosol
ARFGAP3	Cytosol
ARFGEF1	Cytosol
ARFGEF2	Cytosol
ARFIP1	Cytosol
ARFIP2	Cytosol
ARFRP1	Secretory
ARG1	Unclassified
ARG2	Mitochondria
ARGLU1	Nuclear
ARHGAP1	Cytosol
ARHGAP10	Cytosol
ARHGAP11A	Secretory
ARHGAP12	Cytosol
ARHGAP17	Cytosol
ARHGAP18	Cytosol
ARHGAP21	Secretory
ARHGAP24	Cytosol
ARHGAP26	Cytosol
ARHGAP29	Cytosol
ARHGAP32	Secretory
ARHGAP33	Unclassified
ARHGAP35	Cytosol
ARHGAP36	Secretory
ARHGAP39	Secretory
ARHGAP42	Unclassified
ARHGAP44	Cytosol
ARHGAP5	Cytosol
ARHGDIA	Cytosol
ARHGDIB	Cytosol
ARHGEF1	Cytosol
ARHGEF10	Cytosol
ARHGEF10L	Cytosol
ARHGEF11	Cytosol
ARHGEF12	Cytosol
ARHGEF16	Cytosol
ARHGEF17	Secretory
ARHGEF19	Cytosol
ARHGEF2	Cytosol
ARHGEF26	Unclassified
ARHGEF28	Cytosol
ARHGEF3	Mitochondria
ARHGEF35	Cytosol
ARHGEF37	Cytosol
ARHGEF39	Secretory
ARHGEF4	Unclassified
ARHGEF40	Secretory
ARHGEF5	Cytosol
ARHGEF7	Cytosol
ARID1A	Nuclear
ARID1B	Nuclear
ARID2	Nuclear
ARID3A	Nuclear
ARID3B	Nuclear
ARID4A	Nuclear
ARID4B	Nuclear
ARID5B	Secretory
ARIH1	Cytosol
ARIH2	Cytosol
ARL1	Secretory
ARL13B	Secretory
ARL14EP	Cytosol
ARL15	Secretory
ARL2	Cytosol
ARL2BP	Cytosol
ARL3	Cytosol
ARL4A	Secretory
ARL4C	Secretory
ARL5A	Secretory
ARL5B	Unclassified
ARL6	Cytosol
ARL6IP4	Nuclear
ARL6IP5	Secretory
ARL6IP6	Nuclear
ARL8A	Secretory
ARL8B	Secretory
ARMC1	Mitochondria
ARMC10	Mitochondria
ARMC5	Unclassified
ARMC6	Cytosol
ARMC7	Cytosol
ARMC8	Cytosol
ARMC9	Cytosol
ARMCX1	Mitochondria
ARMCX2	Mitochondria
ARMCX3	Mitochondria
ARMCX4	Unclassified
ARMCX5	Cytosol
ARMCX6	Mitochondria
ARNT	Nuclear
ARNT2	Nuclear
ARNTL	Unclassified
ARNTL2	Nuclear
ARPC1A	Cytosol
ARPC1B	Cytosol
ARPC2	Cytosol
ARPC3	Cytosol
ARPC5	Cytosol
ARPC5L	Cytosol
ARPP19	Cytosol
ARR3	Cytosol
ARRB1	Cytosol
ARRB2	Cytosol
ARRDC1	Unclassified
ARRDC2	Secretory
ARRDC3	Unclassified
ARSA	Nuclear
ARSB	Unclassified
ARSD	Secretory
ARSG	Secretory
ARSK	Secretory
ARV1	Secretory
ARVCF	Secretory
AS3MT	Cytosol
ASAH1	Secretory
ASAP1	Cytosol
ASAP2	Cytosol
ASAP3	Cytosol
ASB1	Cytosol
ASB13	Cytosol
ASB6	Cytosol
ASB7	Nuclear
ASB8	Cytosol
ASB9	Cytosol
ASCC1	Cytosol
ASCC2	Cytosol
ASCC3	Cytosol
ASF1A	Nuclear
ASF1B	Nuclear
ASH1L	Nuclear
ASH2L	Nuclear
ASIC1	Secretory
ASL	Cytosol
ASMTL	Cytosol
ASNA1	Cytosol
ASNS	Cytosol
ASNSD1	Cytosol
ASPH	Secretory
ASPHD1	Secretory
ASPHD2	Nuclear
ASPM	Secretory
ASPSCR1	Cytosol
ASRGL1	Cytosol
ASS1	Cytosol
ASTE1	Unclassified
ASTN2	Secretory
ASUN	Nuclear
ASXL1	Nuclear
ASXL2	Nuclear
ATAD1	Mitochondria
ATAD2	Nuclear
ATAD2B	Nuclear
ATAD3A	Mitochondria
ATAD3B	Mitochondria
ATAD5	Nuclear
ATAT1	Cytosol
ATE1	Cytosol
ATF1	Nuclear
ATF2	Nuclear
ATF3	Unclassified
ATF4	Nuclear
ATF6	Secretory
ATF6B	Secretory
ATF7	Nuclear
ATF7IP	Nuclear
ATF7IP2	Nuclear
ATG10	Cytosol
ATG12	Cytosol
ATG13	Cytosol
ATG14	Cytosol
ATG16L1	Cytosol
ATG2A	Cytosol
ATG2B	Cytosol
ATG3	Cytosol
ATG4A	Cytosol
ATG4B	Cytosol
ATG4C	Cytosol
ATG5	Cytosol
ATG7	Cytosol
ATG9A	Secretory
ATHL1	Cytosol
ATIC	Cytosol
ATL1	Secretory
ATL2	Secretory
ATL3	Secretory
ATM	Nuclear
ATMIN	Nuclear
ATN1	Nuclear
ATOX1	Cytosol
ATP11A	Secretory
ATP11B	Secretory
ATP11C	Secretory
ATP13A1	Secretory
ATP13A2	Secretory
ATP13A3	Secretory
ATP1A1	Secretory
ATP1A2	Secretory
ATP1A3	Secretory
ATP1B1	Secretory
ATP1B3	Secretory
ATP2A2	Secretory
ATP2A3	Secretory
ATP2B1	Secretory
ATP2B2	Secretory
ATP2B3	Unclassified
ATP2B4	Secretory
ATP2C1	Secretory
ATP2C2	Secretory
ATP4A	Cytosol
ATP5A1	Mitochondria
ATP5B	Mitochondria
ATP5C1	Mitochondria
ATP5D	Mitochondria
ATP5F1	Mitochondria
ATP5G1	Secretory
ATP5H	Mitochondria
ATP5I	Mitochondria
ATP5J	Mitochondria
ATP5L	Mitochondria
ATP5O	Mitochondria
ATP5S	Mitochondria
ATP5SL	Mitochondria
ATP6AP1	Secretory
ATP6AP2	Secretory
ATP6V0A1	Secretory
ATP6V0A2	Secretory
ATP6V0A4	Secretory
ATP6V0C	Secretory
ATP6V0D1	Secretory
ATP6V1A	Cytosol
ATP6V1B1	Cytosol
ATP6V1B2	Cytosol
ATP6V1C1	Cytosol
ATP6V1D	Cytosol
ATP6V1E1	Cytosol
ATP6V1F	Secretory
ATP6V1G1	Cytosol
ATP6V1H	Cytosol
ATP7A	Secretory
ATP7B	Secretory
ATP8A1	Secretory
ATP8B1	Secretory
ATP8B2	Secretory
ATP9A	Secretory
ATP9B	Secretory
ATPAF1	Mitochondria
ATPAF2	Mitochondria
ATPIF1	Nuclear
ATR	Nuclear
ATRAID	Secretory
ATRIP	Nuclear
ATRN	Secretory
ATRX	Nuclear
ATXN1	Nuclear
ATXN10	Cytosol
ATXN1L	Nuclear
ATXN2	Cytosol
ATXN2L	Cytosol
ATXN3	Cytosol
ATXN7	Cytosol
ATXN7L1	Unclassified
ATXN7L2	Nuclear
ATXN7L3	Nuclear
ATXN7L3B	Cytosol
AUH	Unclassified
AUNIP	Nuclear
AUP1	Secretory
AURKA	Cytosol
AURKAIP1	Secretory
AURKB	Nuclear
AVEN	Cytosol
AVL9	Cytosol
AXIN1	Cytosol
AZGP1	Cytosol
AZI1	Nuclear
AZI2	Cytosol
AZIN1	Cytosol
B2M	Secretory
B3GALNT1	Secretory
B3GALNT2	Secretory
B3GALT4	Secretory
B3GALT6	Secretory
B3GALTL	Secretory
B3GAT3	Secretory
B3GNT1	Secretory
B3GNT2	Secretory
B3GNT3	Secretory
B3GNT9	Secretory
B3GNTL1	Cytosol
B4GALNT1	Secretory
B4GALNT4	Unclassified
B4GALT1	Secretory
B4GALT2	Unclassified
B4GALT3	Secretory
B4GALT4	Secretory
B4GALT5	Secretory
B4GALT7	Secretory
B9D2	Secretory
BABAM1	Cytosol
BACE1	Secretory
BACE2	Secretory
BACH1	Cytosol
BAD	Unclassified
BAG1	Cytosol
BAG2	Unclassified
BAG3	Cytosol
BAG4	Cytosol
BAG5	Cytosol
BAG6	Cytosol
BAHD1	Nuclear
BAIAP2	Secretory
BAIAP2L1	Cytosol
BAK1	Mitochondria
BAMBI	Secretory
BANF1	Unclassified
BANP	Nuclear
BAP1	Nuclear
BARD1	Nuclear
BASP1	Secretory
BATF	Nuclear
BAX	Cytosol
BAZ1A	Nuclear
BAZ1B	Nuclear
BAZ2A	Nuclear
BAZ2B	Nuclear
BBC3	Secretory
BBS10	Unclassified
BBS2	Cytosol
BBS4	Nuclear
BBS9	Cytosol
BBX	Nuclear
BCAM	Secretory
BCAP29	Secretory
BCAP31	Secretory
BCAR1	Cytosol
BCAR3	Cytosol
BCAS1	Cytosol
BCAS2	Nuclear
BCAS3	Cytosol
BCAS4	Cytosol
BCAT2	Mitochondria
BCCIP	Nuclear
BCDIN3D	Cytosol
BCKDHB	Mitochondria
BCKDK	Mitochondria
BCL10	Cytosol
BCL11B	Nuclear
BCL2L1	Unclassified
BCL2L11	Unclassified
BCL2L12	Secretory
BCL2L13	Mitochondria
BCL3	Cytosol
BCL6	Nuclear
BCL7A	Nuclear
BCL7B	Nuclear
BCL7C	Unclassified
BCL9	Nuclear
BCL9L	Nuclear
BCLAF1	Nuclear
BCOR	Nuclear
BCORL1	Nuclear
BCR	Cytosol
BCS1L	Mitochondria
BDH1	Mitochondria
BDH2	Cytosol
BDP1	Nuclear
BECN1	Cytosol
BEND3	Nuclear
BEND7	Nuclear
BET1	Secretory
BET1L	Secretory
BFAR	Secretory
BICD1	Cytosol
BICD2	Cytosol
BID	Cytosol
BIN1	Cytosol
BIN3	Cytosol
BIRC2	Cytosol
BIRC5	Nuclear
BIRC6	Cytosol
BLM	Nuclear
BLMH	Cytosol
BLOC1S1	Secretory
BLOC1S2	Cytosol
BLOC1S3	Cytosol
BLOC1S4	Cytosol
BLOC1S5	Cytosol
BLOC1S6	Cytosol
BLVRA	Cytosol
BLVRB	Cytosol
BLZF1	Secretory
BMP1	Secretory
BMP2K	Unclassified
BMP5	Secretory
BMP7	Secretory
BMPER	Cytosol
BMPR1A	Secretory
BMPR2	Secretory
BMS1	Nuclear
BNIP1	Secretory
BNIP2	Cytosol
BNIP3	Secretory
BNIP3L	Mitochondria
BNIPL	Unclassified
BOD1	Cytosol
BOD1L1	Nuclear
BOK	Unclassified
BOLA1	Cytosol
BOLA3	Unclassified
BOP1	Nuclear
BORA	Cytosol
BPGM	Cytosol
BPHL	Mitochondria
BPI	Nuclear
BPIFA1	Unclassified
BPIFB1	Secretory
BPNT1	Cytosol
BPTF	Nuclear
BRAF	Cytosol
BRAP	Cytosol
BRAT1	Cytosol
BRCA1	Nuclear
BRCA2	Nuclear
BRCC3	Cytosol
BRD1	Nuclear
BRD2	Nuclear
BRD3	Nuclear
BRD4	Nuclear
BRD7	Nuclear
BRD8	Nuclear
BRD9	Nuclear
BRE	Cytosol
BRF1	Nuclear
BRF2	Nuclear
BRI3	Unclassified
BRI3BP	Secretory
BRINP3	Secretory
BRIP1	Cytosol
BRIX1	Nuclear
BRK1	Cytosol
BRMS1	Nuclear
BRMS1L	Nuclear
BROX	Cytosol
BRPF1	Nuclear
BRPF3	Nuclear
BRSK2	Cytosol
BRWD1	Nuclear
BSCL2	Secretory
BSDC1	Cytosol
BSG	Secretory
BSPRY	Secretory
BST2	Secretory
BTAF1	Nuclear
BTBD1	Unclassified
BTBD10	Cytosol
BTBD11	Cytosol
BTBD2	Nuclear
BTBD3	Unclassified
BTBD6	Secretory
BTBD7	Cytosol
BTBD9	Secretory
BTD	Unclassified
BTF3	Cytosol
BTF3L4	Cytosol
BTG1	Cytosol
BTG3	Nuclear
BTN2A1	Secretory
BTRC	Unclassified
BUB1	Cytosol
BUB1B	Cytosol
BUB3	Nuclear
BUD13	Nuclear
BUD31	Nuclear
BYSL	Nuclear
BZW1	Cytosol
BZW2	Cytosol
C10orf118	Cytosol
C10orf12	Nuclear
C10orf2	Unclassified
C10orf35	Secretory
C10orf76	Cytosol
C10orf88	Cytosol
C11orf24	Unclassified
C11orf30	Nuclear
C11orf31	Nuclear
C11orf48	Nuclear
C11orf49	Cytosol
C11orf52	Secretory
C11orf54	Cytosol
C11orf57	Nuclear
C11orf58	Nuclear
C11orf65	Nuclear
C11orf68	Cytosol
C11orf73	Cytosol
C11orf74	Cytosol
C11orf83	Mitochondria
C11orf84	Nuclear
C12orf10	Cytosol
C12orf23	Cytosol
C12orf29	Cytosol
C12orf4	Cytosol
C12orf43	Nuclear
C12orf44	Cytosol
C12orf45	Unclassified
C12orf49	Secretory
C12orf5	Cytosol
C12orf57	Cytosol
C12orf65	Secretory
C12orf66	Cytosol
C12orf73	Mitochondria
C12orf75	Secretory
C14orf1	Secretory
C14orf119	Cytosol
C14orf142	Cytosol
C14orf166	Nuclear
C14orf2	Mitochondria
C14orf39	Unclassified
C14orf79	Cytosol
C14orf80	Cytosol
C14orf93	Nuclear
C15orf39	Nuclear
C15orf40	Cytosol
C15orf41	Cytosol
C15orf48	Secretory
C15orf52	Nuclear
C15orf57	Cytosol
C15orf61	Unclassified
C16orf13	Cytosol
C16orf45	Secretory
C16orf58	Secretory
C16orf59	Secretory
C16orf62	Cytosol
C16orf70	Cytosol
C16orf72	Cytosol
C16orf74	Secretory
C16orf80	Nuclear
C16orf87	Nuclear
C16orf91	Mitochondria
C16orf96	Cytosol
C17orf103	Cytosol
C17orf49	Nuclear
C17orf53	Cytosol
C17orf59	Secretory
C17orf62	Secretory
C17orf70	Cytosol
C17orf75	Cytosol
C17orf80	Mitochondria
C17orf85	Nuclear
C17orf96	Nuclear
C17orf97	Nuclear
C18orf21	Nuclear
C18orf25	Nuclear
C18orf32	Secretory
C18orf8	Cytosol
C19orf10	Nuclear
C19orf25	Secretory
C19orf26	Secretory
C19orf33	Unclassified
C19orf43	Nuclear
C19orf47	Nuclear
C19orf52	Mitochondria
C19orf53	Nuclear
C19orf54	Cytosol
C19orf55	Cytosol
C19orf57	Nuclear
C19orf60	Cytosol
C19orf66	Cytosol
C19orf68	Nuclear
C19orf70	Mitochondria
C1D	Unclassified
C1GALT1	Secretory
C1GALT1C1	Secretory
C1orf106	Cytosol
C1orf109	Cytosol
C1orf112	Unclassified
C1orf116	Cytosol
C1orf122	Cytosol
C1orf123	Cytosol
C1orf131	Nuclear
C1orf159	Secretory
C1orf172	Secretory
C1orf174	Nuclear
C1orf198	Cytosol
C1orf21	Secretory
C1orf210	Secretory
C1orf226	Mitochondria
C1orf233	Secretory
C1orf27	Secretory
C1orf35	Nuclear
C1orf43	Secretory
C1orf50	Cytosol
C1orf52	Nuclear
C1orf53	Cytosol
C1orf56	Unclassified
C1orf63	Nuclear
C1orf74	Cytosol
C1orf86	Cytosol
C1QA	Unclassified
C1QB	Cytosol
C1QBP	Mitochondria
C1QL1	Secretory
C1QTNF6	Secretory
C1R	Cytosol
C1S	Cytosol
C2	Unclassified
C20orf112	Nuclear
C20orf194	Unclassified
C20orf24	Secretory
C20orf27	Cytosol
C21orf2	Unclassified
C21orf33	Unclassified
C21orf59	Cytosol
C21orf91	Cytosol
C22orf39	Unclassified
C2CD2	Secretory
C2CD2L	Secretory
C2CD3	Secretory
C2CD5	Cytosol
C2orf42	Nuclear
C2orf43	Secretory
C2orf44	Cytosol
C2orf47	Mitochondria
C2orf49	Nuclear
C2orf68	Unclassified
C2orf69	Cytosol
C2orf74	Cytosol
C2orf76	Cytosol
C3	Cytosol
C3orf14	Cytosol
C3orf17	Nuclear
C3orf33	Mitochondria
C3orf38	Cytosol
C3orf58	Secretory
C3orf83	Cytosol
C4BPA	Cytosol
C4BPB	Cytosol
C4orf19	Secretory
C4orf21	Cytosol
C4orf27	Nuclear
C4orf29	Mitochondria
C4orf3	Secretory
C4orf32	Secretory
C4orf33	Cytosol
C4orf46	Cytosol
C4orf48	Unclassified
C5	Cytosol
C5AR2	Unclassified
C5orf15	Secretory
C5orf22	Nuclear
C5orf24	Nuclear
C5orf30	Cytosol
C5orf34	Cytosol
C5orf45	Nuclear
C5orf51	Cytosol
C5orf54	Cytosol
C5orf63	Unclassified
C6	Cytosol
C6orf106	Cytosol
C6orf120	Secretory
C6orf132	Unclassified
C6orf141	Secretory
C6orf203	Mitochondria
C6orf211	Cytosol
C6orf47	Secretory
C6orf57	Unclassified
C6orf62	Cytosol
C6orf89	Secretory
C7	Cytosol
C7orf25	Cytosol
C7orf26	Nuclear
C7orf43	Unclassified
C7orf49	Cytosol
C7orf50	Nuclear
C7orf55	Mitochondria
C7orf55-LUC7L2	Nuclear
C7orf60	Cytosol
C8A	Cytosol
